name,code,long,gclat,gdlat,height,map
"Taurus Australis Observatory, Brasilia",I66,312.0,-15.756576,-15.857426,1093.3452,http://www.openstreetmap.org?zoom=17&lon=312&lat=-15.857426
Hartley Wintney,I67,359.08752,51.118546,51.30646,68.54791,http://www.openstreetmap.org?zoom=17&lon=359.08752&lat=51.30646
Pousada dos Anoes Observatory,I68,312.4981,-14.225377,-14.317304,1122.4199,http://www.openstreetmap.org?zoom=17&lon=312.4981&lat=-14.317304
"AGM Observatory, Marrakech",I69,352.0069,31.45588,31.627445,444.53986,http://www.openstreetmap.org?zoom=17&lon=352.0069&lat=31.627445
"Gedney House Observatory, Kirton",I70,359.9416,52.741253,52.92653,7.725144,http://www.openstreetmap.org?zoom=17&lon=359.9416&lat=52.92653
"Observatorio Los Milanos, Caceres",I71,353.6698,39.260548,39.44923,549.1404,http://www.openstreetmap.org?zoom=17&lon=353.6698&lat=39.44923
"Observatorio Carpe-Noctem, Madrid",I72,355.9849,40.521214,40.711353,1204.9362,http://www.openstreetmap.org?zoom=17&lon=355.9849&lat=40.711353
"Salvia Observatory, Saulges",I73,359.5871,47.791214,47.98266,146.64604,http://www.openstreetmap.org?zoom=17&lon=359.5871&lat=47.98266
"Baxter Garden Observatory, Salisbury",I74,358.18738,50.886574,51.074818,63.10005,http://www.openstreetmap.org?zoom=17&lon=358.18738&lat=51.074818
Observatorio Castellon,I75,359.965,39.789776,39.979137,87.80657,http://www.openstreetmap.org?zoom=17&lon=359.965&lat=39.979137
"Observatorio Tesla, Valdemorillo",I76,355.9368,40.31077,40.500698,831.5032,http://www.openstreetmap.org?zoom=17&lon=355.9368&lat=40.500698
"CEAMIG-REA Observatory, Belo Horizonte",I77,316.0025,-19.707834,-19.830313,854.3784,http://www.openstreetmap.org?zoom=17&lon=316.0025&lat=-19.830313
"Observatorio Principia, Malaga",I78,355.5721,36.54912,36.73341,92.76291,http://www.openstreetmap.org?zoom=17&lon=355.5721&lat=36.73341
"AstroCamp, Nerpio",I79,357.6733,37.97886,38.165638,1586.4492,http://www.openstreetmap.org?zoom=17&lon=357.6733&lat=38.165638
"Rose Cottage Observatory, Keighley",I80,358.13327,53.69857,53.882004,218.09732,http://www.openstreetmap.org?zoom=17&lon=358.13327&lat=53.882004
"Tarbatness Observatory, Portmahomack",I81,356.2011,57.670464,57.844124,48.754406,http://www.openstreetmap.org?zoom=17&lon=356.2011&lat=57.844124
Guimar,I82,343.5797,28.156803,28.317205,371.52295,http://www.openstreetmap.org?zoom=17&lon=343.5797&lat=28.317205
"Cherryvalley Observatory, Rathmolyon",I83,353.19,53.30282,53.48704,50.3958,http://www.openstreetmap.org?zoom=17&lon=353.19&lat=53.48704
"Cerro del Viento, Badajoz",I84,353.0212,38.678356,38.86624,235.6483,http://www.openstreetmap.org?zoom=17&lon=353.0212&lat=38.86624
Las Negras,I85,357.9848,36.696198,36.88077,62.07983,http://www.openstreetmap.org?zoom=17&lon=357.9848&lat=36.88077
"Observatorio UCM, Madrid",I86,356.2739,40.261223,40.451103,633.9396,http://www.openstreetmap.org?zoom=17&lon=356.2739&lat=40.451103
"Astroshot Observatory, Monasterevin",I87,352.9593,52.951534,53.136417,92.52836,http://www.openstreetmap.org?zoom=17&lon=352.9593&lat=53.136417
Fuensanta de Martos,I88,356.0823,37.46084,37.64678,710.35144,http://www.openstreetmap.org?zoom=17&lon=356.0823&lat=37.64678
"iTelescope Observatory, Nerpio",I89,357.6739,37.978508,38.165283,1636.596,http://www.openstreetmap.org?zoom=17&lon=357.6739&lat=38.165283
Blackrock Castle Observatory,I90,351.5976,51.71336,51.900375,13.53512,http://www.openstreetmap.org?zoom=17&lon=351.5976&lat=51.900375
